Id,Label,Domain,Phylum,Class,Order,Family,Genus,OTU.rep,Name
75,OTU75,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802929.1.1358,o_SAR11 clade
184,OTU184,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802865.1.1431,f_Surface 1
420,OTU420,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU801209.1.1437,f_Surface 1
72,OTU72,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU801992.1.1230,o_SAR11 clade
86,OTU86,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EF573597.1.1440,o_SAR11 clade
455,OTU455,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,JN177586.1.1440,f_Surface 1
245,OTU245,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 4,,EF572648.1.1451,f_Surface 4
95,OTU95,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,EU800927.1.1359,g_Candidatus Pelagibacter
78,OTU78,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU801696.1.1459,g_AEGEAN-169 marine group
133,OTU133,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Pseudospirillum,AACY023938218.20.1535,g_Pseudospirillum
137,OTU137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,EU803056.1.1370,g_uncultured
88,OTU88,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ163743.1.1324,f_Surface 1
68,OTU68,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,EF574411.1.1527,f_SAR406 clade(Marine group A)
220,OTU220,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020398456.2130.3630,f_SAR86 clade
235,OTU235,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,AACY020255495.903.2404,f_SAR86 clade
85,OTU85,Bacteria,Proteobacteria,ARKICE-90,,,,JN832930.1.1413,c_ARKICE-90
429,OTU429,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802835.1.1505,f_SAR86 clade
1230,OTU1230,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU799228.1.1501,f_SAR86 clade
325,OTU325,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,FN435231.1.1514,o_SAR11 clade
148,OTU148,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,FJ744908.1.1331,f_Surface 1
103,OTU103,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ346891.1.1321,f_Surface 1
276,OTU276,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800581.1.1375,f_Surface 1
744,OTU744,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU801664.1.1461,o_SAR11 clade
152,OTU152,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,JX017005.1.1403,f_Surface 2
486,OTU486,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,FJ745180.1.1374,f_SAR86 clade
146,OTU146,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,EU802844.1.1359,f_Surface 2
363,OTU363,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,JX016471.1.1438,f_Surface 2
169,OTU169,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF572587.1.1496,f_SAR86 clade
345,OTU345,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,EF646132.1.1480,f_NS9 marine group
229,OTU229,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,FJ745251.1.1308,f_SAR116 clade
466,OTU466,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,JX206777.1.1466,f_OCS155 marine group
93,OTU93,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EF571982.1.1487,f_OCS155 marine group
140,OTU140,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU801193.1.1360,f_Surface 1
324,OTU324,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU268116.1.1462,f_OCS155 marine group
179,OTU179,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EF574241.1.1490,f_SAR86 clade
194,OTU194,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU799628.1.1361,f_Surface 1
424,OTU424,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter clade OCT lineage,FJ545507.1.1456,g_Roseobacter clade OCT lineage
439,OTU439,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,EU800729.1.1446,g_AEGEAN-169 marine group
2610,OTU2610,Bacteria,Verrucomicrobia,OPB35 soil group,,,,FJ628330.1.1527,c_OPB35 soil group
278,OTU278,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU237402.1.1311,f_OCS155 marine group
441,OTU441,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800350.1.1365,f_Surface 1
83,OTU83,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,L10934.1.1298,g_Candidatus Pelagibacter
172,OTU172,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,AM747314.1.1270,f_Surface 2
387,OTU387,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,GU061386.1.1471,f_SAR86 clade
691,OTU691,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,SAR116 clade,,EU803092.1.1447,f_SAR116 clade
25,OTU25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,AEGEAN-169 marine group,DQ009453.1.1963,g_AEGEAN-169 marine group
144,OTU144,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,Candidatus Pelagibacter,FJ744817.1.1308,g_Candidatus Pelagibacter
109,OTU109,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU802529.1.1481,f_OCS155 marine group
299,OTU299,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,EU804538.1.1487,f_OCS155 marine group
82,OTU82,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,GQ377772.1.1269,g_Synechococcus
131,OTU131,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,HQ242620.1.1275,f_Surface 1
117,OTU117,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU235638.1.1322,f_Surface 1
164,OTU164,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GU235451.1.1318,f_Surface 1
419,OTU419,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,EU799106.1.1438,f_Surface 2
127,OTU127,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664012.1.1253,g_Synechococcus
231,OTU231,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU268068.1.1427,o_SAR11 clade
175,OTU175,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,FJ745032.1.1322,f_uncultured
168,OTU168,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EU802960.1.1455,o_SAR324 clade(Marine group B)
177,OTU177,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86 clade,,EU802971.1.1498,f_SAR86 clade
217,OTU217,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,GQ346815.1.1325,f_Surface 1
291,OTU291,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 2,,JN233157.1.1397,f_Surface 2
399,OTU399,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,,EU801050.1.1438,f_Chesapeake-Delaware Bay
710,OTU710,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,AACY020518560.687.2227,f_SAR406 clade(Marine group A)
1707,OTU1707,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU799850.1.1450,o_SAR11 clade
423,OTU423,Bacteria,Proteobacteria,Deltaproteobacteria,Sh765B-TzT-29,,,EF573230.1.1478,o_Sh765B-TzT-29
922,OTU922,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,EU802522.1.1450,o_SAR11 clade
741,OTU741,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU801445.1.1438,f_Surface 1
1848,OTU1848,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Litoricolaceae,Litoricola,EU800188.1.1480,g_Litoricola
1022,OTU1022,Bacteria,Bacteroidetes,Cytophagia,Order III Incertae Sedis,Family Incertae Sedis,Balneola,HM057801.1.1519,g_Balneola
206,OTU206,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EF572922.1.1449,f_Surface 1
474,OTU474,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,,EU805000.1.1468,f_S25-593
1279,OTU1279,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,SAR406 clade(Marine group A),,GU940987.1.1428,f_SAR406 clade(Marine group A)
154,OTU154,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU800666.1.1372,f_Surface 1
119,OTU119,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Chesapeake-Delaware Bay,,EU800201.1.1303,f_Chesapeake-Delaware Bay
384,OTU384,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AF098371.1.1444,g_Synechococcus
15,OTU15,Archaea,Thaumarchaeota,Marine Group I,,,,U40238.31654.33126,c_Marine Group I
1616,OTU1616,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,FJ545589.1.1505,g_uncultured
37,OTU37,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,ZD0417 marine group,AACY020565564.130.1652,g_ZD0417 marine group
805,OTU805,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EU799189.1.1462,g_OM75 clade
692,OTU692,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,HQ671810.1.1467,g_OM75 clade
520,OTU520,Bacteria,Proteobacteria,Gammaproteobacteria,E01-9C-26 marine group,,,JF747664.1.1516,o_E01-9C-26 marine group
108,OTU108,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802539.1.1352,f_Surface 1
92,OTU92,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,AY664211.1.1287,g_Synechococcus
1094,OTU1094,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL-ETNP-Y6,,HQ672069.1.1486,f_JL-ETNP-Y6
327,OTU327,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,EU802790.1.1266,g_Prochlorococcus
950,OTU950,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,HM129439.1.1414,g_Synechococcus
77,OTU77,Archaea,Thaumarchaeota,Marine Group I,,,,JQ224996.1.1347,c_Marine Group I
56,OTU56,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OCS155 marine group,,AACY020396101.1882.3388,f_OCS155 marine group
282,OTU282,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,NS9 marine group,,GU230411.1.1482,f_NS9 marine group
478,OTU478,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,uncultured,EF574734.1.1477,g_uncultured
866,OTU866,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,OM75 clade,EU799655.1.1454,g_OM75 clade
1078,OTU1078,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,,DQ269094.1.1345,f_FamilyI
116,OTU116,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JN547438.1.1447,g_Prochlorococcus
590,OTU590,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,JQ062792.1.1431,g_Prochlorococcus
346,OTU346,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Surface 1,,EU802515.1.1370,f_Surface 1
1119,OTU1119,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,HQ671769.1.1436,g_Prochlorococcus
126,OTU126,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,mitochondria,,GU940773.1.1334,f_mitochondria
342,OTU342,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Prochlorococcus,KC003178.1.1230,g_Prochlorococcus
1723,OTU1723,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,EU799269.1.1451,g_Thiothrix
1698,OTU1698,Bacteria,Chloroflexi,SAR202 clade,,,,HQ671908.1.1429,c_SAR202 clade
548,OTU548,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,JX945359.1.1444,g_Synechococcus
236,OTU236,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS5 marine group,FN433348.1.1495,g_NS5 marine group
524,OTU524,Bacteria,Proteobacteria,Alphaproteobacteria,OCS116 clade,,,EU799585.1.1456,o_OCS116 clade
852,OTU852,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira,JN018991.1.1360,g_Magnetospira
452,OTU452,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,EF575193.1.1476,o_SAR324 clade(Marine group B)
1011,OTU1011,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,HM057716.1.1496,o_SAR324 clade(Marine group B)
862,OTU862,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,NS4 marine group,EF016474.1.1494,g_NS4 marine group
491,OTU491,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,FJ999606.1.1357,g_Synechococcus
